Bank Name,City,State,Cert,Acquiring Institution,Closing Date,Fund,State_full_name,State_standard,Country
1st Centennial Bank,Redlands,CA,33025,First California Bank,2009-01-23,10030,California,Calif.,United States
Bank of Clark County,Vancouver,WA,34959,Umpqua Bank,2009-01-16,10029,Washington,Wash.,United States
National Bank of Commerce,Berkeley,IL,19733,Republic Bank of Chicago,2009-01-16,10028,Illinois,Ill.,United States
Sanderson State Bank,Sanderson,TX,11568,The Pecos County State Bank,2008-12-12,10026,Texas,Texas,United States
Haven Trust Bank,Duluth,GA,35379,"Branch Banking & Trust Company, (BB&T)",2008-12-12,10027,Georgia,Ga.,United States
First Georgia Community Bank,Jackson,GA,34301,United Bank,2008-12-05,10025,Georgia,Ga.,United States
PFF Bank & Trust,Pomona,CA,28344,"U.S. Bank, N.A.",2008-11-21,10024,California,Calif.,United States
Downey Savings & Loan,Newport Beach,CA,30968,"U.S. Bank, N.A.",2008-11-21,10023,California,Calif.,United States
Community Bank,Loganville,GA,16490,Bank of Essex,2008-11-21,10022,Georgia,Ga.,United States
Security Pacific Bank,Los Angeles,CA,23595,Pacific Western Bank,2008-11-07,10020,California,Calif.,United States
"Franklin Bank, SSB",Houston,TX,26870,Prosperity Bank,2008-11-07,10021,Texas,Texas,United States
Freedom Bank,Bradenton,FL,57930,Fifth Third Bank,2008-10-31,10019,Florida,Fla.,United States
Alpha Bank & Trust,Alpharetta,GA,58241,"Stearns Bank, N.A.",2008-10-24,10018,Georgia,Ga.,United States
Meridian Bank,Eldred,IL,13789,National Bank,2008-10-10,10017,Illinois,Ill.,United States
Main Street Bank,Northville,MI,57654,Monroe Bank & Trust,2008-10-10,10016,Michigan,Mich.,United States
Washington Mutual Bank (Including its subsidiary Washington Mutual Bank FSB),Henderson,NV,32633,JP Morgan Chase Bank,2008-09-25,10015,Nevada,Nev.,United States
Ameribank,Northfork,WV,6782,"The Citizens Savings Bank ********** Pioneer Community Bank, Inc.",2008-09-19,10014,West Virginia,W.Va.,United States
Silver State Bank,Henderson,NV,34194,Nevada State Bank,2008-09-05,10013,Nevada,Nev.,United States
Integrity Bank,Alpharetta,GA,35469,Regions Bank,2008-08-29,10012,Georgia,Ga.,United States
Columbian Bank & Trust,Topeka,KS,22728,Citizens Bank & Trust,2008-08-22,10011,Kansas,Kan.,United States
First Priority Bank,Bradenton,FL,57523,SunTrust Bank,2008-08-01,10010,Florida,Fla.,United States
"First Heritage Bank, NA",Newport Beach,CA,57961,Mutual of Omaha Bank,2008-07-25,10009,California,Calif.,United States
First National Bank of Nevada,Reno,NV,27011,Mutual of Omaha Bank,2008-07-25,10008,Nevada,Nev.,United States
IndyMac Bank,Pasadena,CA,29730,"OneWest Bank, FSB",2008-07-11,10007,California,Calif.,United States
"First Integrity Bank, NA",Staples,MN,12736,First International Bank and Trust,2008-05-30,10006,Minnesota,Minn.,United States
"ANB Financial, NA",Bentonville,AR,33901,Pulaski Bank and Trust Company,2008-05-09,10005,Arkansas,Ark.,United States
Hume Bank,Hume,MO,1971,Security Bank,2008-03-07,10004,Missouri,Mo.,United States
Douglass National Bank,Kansas City,MO,24660,Liberty Bank and Trust Company,2008-01-25,10003,Missouri,Mo.,United States
Miami Valley Bank,Lakeview,OH,16848,The Citizens Banking Company,2007-10-04,10002,Ohio,Ohio,United States
NetBank,Alpharetta,GA,32575,ING DIRECT,2007-09-28,10001,Georgia,Ga.,United States
Metropolitan Savings Bank,Pittsburgh,PA,35353,Allegheny Valley Bank of Pittsburgh,2007-02-02,10000,Pennsylvania,Pa.,United States
Bank of Ephraim,Ephraim,UT,1249,Far West Bank,2004-06-25,4665,Utah,Utah,United States
Reliance Bank,White Plains,NY,26778,Union State Bank,2004-03-19,4664,New York,N.Y.,United States
Guaranty National Bank of Tallahassee,Tallahassee,FL,26838,Hancock Bank of Florida,2004-03-12,4663,Florida,Fla.,United States
Dollar Savings Bank,Newark,NJ,31330,No Acquirer,2004-02-14,6006,New Jersey,N.J.,United States
Pulaski Savings Bank,Philadelphia,PA,27203,Earthstar Bank,2003-11-14,4662,Pennsylvania,Pa.,United States
First National Bank of Blanchardville,Blanchardville,WI,11639,The Park Bank,2003-05-09,4661,Wisconsin,Wis.,United States
Southern Pacific Bank,Torrance,CA,27094,Beal Bank,2003-02-07,4660,California,Calif.,United States
Farmers Bank of Cheneyville,Cheneyville,LA,16445,Sabine State Bank & Trust,2002-12-17,4659,Louisiana,La.,United States
Bank of Alamo,Alamo,TN,9961,No Acquirer,2002-11-08,4658,Tennessee,Tenn.,United States
AmTrade International Bank,Atlanta,GA,33784,No Acquirer,2002-09-30,4657,Georgia,Ga.,United States
Universal Federal Savings Bank,Chicago,IL,29355,Chicago Community Bank,2002-06-27,6005,Illinois,Ill.,United States
Connecticut Bank of Commerce,Stamford,CT,19183,Hudson United Bank,2002-06-26,4656,Connecticut,Conn.,United States
New Century Bank,Shelby Township,MI,34979,No Acquirer,2002-03-28,4655,Michigan,Mich.,United States
Net 1st National Bank,Boca Raton,FL,26652,Bank Leumi USA,2002-03-01,4654,Florida,Fla.,United States
"NextBank, NA",Phoenix,AZ,22314,No Acquirer,2002-02-07,4653,Arizona,Ariz.,United States
Oakwood Deposit Bank Co.,Oakwood,OH,8966,The State Bank & Trust Company,2002-02-01,4652,Ohio,Ohio,United States
Bank of Sierra Blanca,Sierra Blanca,TX,22002,The Security State Bank of Pecos,2002-01-18,4651,Texas,Texas,United States
"Hamilton Bank, NA",Miami,FL,24382,Israel Discount Bank of New York,2002-01-11,4650,Florida,Fla.,United States
Sinclair National Bank,Gravette,AR,34248,Delta Trust & Bank,2001-09-07,4649,Arkansas,Ark.,United States
"Superior Bank, FSB",Hinsdale,IL,32646,"Superior Federal, FSB",2001-07-27,6004,Illinois,Ill.,United States
Malta National Bank,Malta,OH,6629,North Valley Bank,2001-05-03,4648,Ohio,Ohio,United States
First Alliance Bank & Trust Co.,Manchester,NH,34264,Southern New Hampshire Bank & Trust,2001-02-02,4647,New Hampshire,N.H.,United States
National State Bank of Metropolis,Metropolis,IL,3815,Banterra Bank of Marion,2000-12-14,4646,Illinois,Ill.,United States
Bank of Honolulu,Honolulu,HI,21029,Bank of the Orient,2000-10-13,4645,Hawaii,Hawaii,United States
