Bank Name,City,State,Cert,Acquiring Institution,Closing Date,Fund,State_full_name,State_standard,Country
Fidelity Bank,Dearborn,MI,33883,The Huntington National Bank,2012-03-30,10432,Michigan,Mich.,United States
Premier Bank,Wilmette,IL,35419,International Bank of Chicago,2012-03-23,10431,Illinois,Ill.,United States
Covenant Bank & Trust,Rock Spring,GA,58068,"Stearns Bank, N.A.",2012-03-23,10430,Georgia,Ga.,United States
New City Bank,Chicago,IL,57597,No Acquirer,2012-03-09,10429,Illinois,Ill.,United States
Global Commerce Bank,Doraville,GA,34046,Metro City Bank,2012-03-02,10428,Georgia,Ga.,United States
Home Savings of America,Little Falls,MN,29178,No Acquirer,2012-02-24,10427,Minnesota,Minn.,United States
Central Bank of Georgia,Ellaville,GA,5687,Ameris Bank,2012-02-24,10426,Georgia,Ga.,United States
SCB Bank,Shelbyville,IN,29761,"First Merchants Bank, National Association",2012-02-10,10425,Indiana,Ind.,United States
Charter National Bank and Trust,Hoffman Estates,IL,23187,"Barrington Bank & Trust Company, National Association",2012-02-10,10424,Illinois,Ill.,United States
BankEast,Knoxville,TN,19869,"U.S. Bank, N.A.",2012-01-27,10420,Tennessee,Tenn.,United States
Patriot Bank Minnesota,Forest Lake,MN,34823,First Resource Bank,2012-01-27,10422,Minnesota,Minn.,United States
Tennessee Commerce Bank,Franklin,TN,35296,Republic Bank & Trust Company,2012-01-27,10423,Tennessee,Tenn.,United States
First Guaranty Bank and Trust Company of Jacksonville,Jacksonville,FL,16579,"CenterState Bank of Florida, N.A.",2012-01-27,10421,Florida,Fla.,United States
American Eagle Savings Bank,Boothwyn,PA,31581,"Capital Bank, N.A.",2012-01-20,10417,Pennsylvania,Pa.,United States
The First State Bank,Stockbridge,GA,19252,Hamilton State Bank,2012-01-20,10419,Georgia,Ga.,United States
Central Florida State Bank,Belleview,FL,57186,"CenterState Bank of Florida, N.A.",2012-01-20,10418,Florida,Fla.,United States
Western National Bank,Phoenix,AZ,57917,Washington Federal,2011-12-16,10416,Arizona,Ariz.,United States
Premier Community Bank of the Emerald Coast,Crestview,FL,58343,Summit Bank,2011-12-16,10415,Florida,Fla.,United States
Central Progressive Bank,Lacombe,LA,19657,First NBC Bank,2011-11-18,10413,Louisiana,La.,United States
Polk County Bank,Johnston,IA,14194,Grinnell State Bank,2011-11-18,10414,Iowa,Iowa,United States
Community Bank of Rockmart,Rockmart,GA,57860,Century Bank of Georgia,2011-11-10,10412,Georgia,Ga.,United States
SunFirst Bank,Saint George,UT,57087,Cache Valley Bank,2011-11-04,10411,Utah,Utah,United States
"Mid City Bank, Inc.",Omaha,NE,19397,Premier Bank,2011-11-04,10410,Nebraska,Neb.,United States
All American Bank,Des Plaines,IL,57759,International Bank of Chicago,2011-10-28,10409,Illinois,Ill.,United States
Community Banks of Colorado,Greenwood Village,CO,21132,"Bank Midwest, N.A.",2011-10-21,10405,Colorado,Colo.,United States
